url,approximate_value,number_drafted,position
/players/A/AlleDw00.htm,12,64,TE
/players/A/AlleEr00.htm,119,30,DB
/players/A/AlleGa20.htm,1,148,RB
/players/A/AlleGe20.htm,0,28,T
/players/A/AlleJe00.htm,9,120,RB
/players/A/AlleGr21.htm,0,35,RB
/players/A/AlleJa20.htm,3,153,DB
/players/A/AlleJa21.htm,9,82,LB
/players/A/AlleJa22.htm,99,126,DE
/players/A/AlleJa23.htm,11,16,DB
/players/A/AlleJa01.htm,14,125,RB
/players/A/AlleJe20.htm,6,212,DB
/players/A/AlleJe01.htm,26,44,T
/players/A/AlleJi20.htm,36,100,DB
/players/A/AlleJo01.htm,25,17,DT
/players/A/AlleJo02.htm,36,7,QB
/players/A/AlleJo03.htm,9,7,EDGE
/players/A/AlleKe00.htm,55,76,WR
/players/A/AlleKe21.htm,0,9,T
/players/A/AlleLa00.htm,101,46,G
/players/A/AlleMa00.htm,103,10,RB
/players/A/AlleMa03.htm,2,148,S
/players/A/AlleNa99.htm,35,37,DB
/players/A/AllePa20.htm,32,100,DB
/players/A/AlleRi00.htm,28,147,CB
/players/A/AlleTa20.htm,1,158,DB
/players/A/AlleTe00.htm,60,241,RB
/players/A/AlleWi20.htm,46,22,DB
/players/A/AlleWi21.htm,24,111,DB
/players/A/AlleZa01.htm,5,65,DL
/players/A/AlleKu20.htm,24,78,LB
/players/A/AlleTy20.htm,4,95,LB
/players/A/AlliAu00.htm,3,146,WR
/players/A/AlliHe20.htm,4,50,G
/players/A/AllrJo00.htm,3,38,TE
/players/A/AlmxJe20.htm,5,41,DT
/players/A/AlonKi00.htm,33,46,ILB
/players/A/AlstJo20.htm,6,77,LB
/players/A/AlstMi00.htm,48,35,FB
/players/A/AltxJo00.htm,74,21,T
/players/A/AluaTy99.htm,41,10,DT
/players/A/AlveSt20.htm,0,172,TE
/players/A/AlvoSt20.htm,7,201,DT
/players/A/AlwaTo20.htm,3,153,G
/players/A/AlwoLa00.htm,98,9,FL
/players/A/AlzaLy00.htm,86,79,DE
/players/A/AmadUg00.htm,3,132,S
/players/A/AmanEu20.htm,30,239,C
/players/A/AmarJa00.htm,4,49,TE
/players/A/AmbrAs00.htm,57,29,DB
/players/A/AmecAl00.htm,3,3,FB
/players/A/AmerDa00.htm,27,51,CB
/players/A/AmeyVi20.htm,1,230,DE
/players/A/AmosAd00.htm,40,142,FS
/players/A/AmukPr00.htm,45,19,CB
/players/A/AmunGe00.htm,4,14,RB
/players/A/AnaeBr00.htm,0,179,DL
/players/A/AnchTr00.htm,0,250,OL
/players/A/AndeJa20.htm,1,211,G
/players/A/andermor01.htm,51,86,K
/players/A/AndeAl00.htm,22,67,RB
/players/A/AndeAn22.htm,4,101,DT
/players/A/AndeBi00.htm,18,31,E
/players/A/AndeBo01.htm,0,108,HB
/players/A/AndeBo00.htm,20,11,RB
/players/A/AndeBr20.htm,1,212,WR
/players/A/AndeBr21.htm,18,82,DE
/players/A/AndeBr22.htm,0,261,G
/players/A/AndeCh21.htm,8,200,LB
/players/A/AndeCo00.htm,5,245,TE
/players/A/AndeCu20.htm,3,128,DE
/players/A/AndeDa20.htm,0,93,DB
/players/A/AndeDa01.htm,7,251,WR
/players/A/AndeDe01.htm,1,195,FB
/players/A/AndeDe00.htm,24,213,QB
/players/A/AndeDi00.htm,78,73,DB
/players/A/AndeDo20.htm,0,32,DB
/players/A/AndeDo00.htm,69,7,RB
/players/A/AndeEd21.htm,49,153,DB
/players/A/AndeEr20.htm,1,186,LB
/players/A/AndeFl00.htm,43,46,WR
/players/A/andergar02.htm,51,171,K
/players/A/AndeGa00.htm,42,20,RB
/players/A/AndeHe00.htm,20,93,DE
/players/A/AndeJa98.htm,20,8,DE
/players/A/AndeJa00.htm,49,201,RB
/players/A/AndeJa21.htm,31,88,MLB
/players/A/AndeJe20.htm,0,105,DB
/players/A/AndeJe00.htm,2,87,TE
/players/A/AndeJo20.htm,63,26,LB
/players/A/AndeJu00.htm,0,208,T
/players/A/AndeKe00.htm,121,67,QB
/players/A/AndeKi20.htm,6,69,DB
/players/A/AndeLa20.htm,9,101,DB
/players/A/AndeMa21.htm,21,159,DE
/players/A/AndeMa22.htm,13,92,DB
/players/A/AndeMa00.htm,6,132,RB
/players/A/AndeMi00.htm,36,189,RB
/players/A/AndeNe00.htm,60,27,RB
/players/A/AndeOt00.htm,80,8,RB
/players/A/AndeRa00.htm,7,101,E
/players/A/AndeRa20.htm,18,126,DB
/players/A/AndeRa21.htm,7,23,DB
/players/A/AndeRi00.htm,29,144,FB
/players/A/AndeRi20.htm,0,71,RB
/players/A/AndeRo20.htm,10,96,DT
/players/A/AndeRy00.htm,6,49,OLB
/players/A/AndeSc20.htm,0,77,C
/players/A/AndeSc00.htm,8,148,WR
/players/A/AndeSt00.htm,2,215,WR
/players/A/AndeSt21.htm,2,104,LB
/players/A/AndeTa00.htm,12,80,TE
/players/A/AndeTi20.htm,7,74,DT
/players/A/AndeWa20.htm,0,98,WR
/players/A/AndeWi21.htm,0,23,DB
/players/A/AndeWi00.htm,101,10,T
/players/A/AndoEr20.htm,23,111,G
/players/A/AndrGe20.htm,31,19,LB
/players/A/AndrJo00.htm,0,130,TE
/players/A/AndrJo20.htm,7,175,DE
/players/A/AndrMa00.htm,23,86,TE
/players/A/AndrSh55.htm,34,16,G
/players/A/AndrSt21.htm,21,123,T
/players/A/AndrTo20.htm,0,98,T
/players/A/AndrWi00.htm,68,79,RB
/players/A/AndrWi20.htm,3,229,DB
/players/A/AndrGe00.htm,73,82,DE
/players/A/AndrZe20.htm,3,231,P
/players/A/AnelMa20.htm,0,201,TE
/players/A/AngeBr00.htm,18,70,P
/players/A/AngePa99.htm,18,63,LB
/players/A/AnguRi00.htm,2,254,TE
/players/A/AnsaEz00.htm,38,5,DE
/players/A/AnthRe00.htm,21,16,WR
/players/A/AnthSt00.htm,10,31,ILB
/players/A/AnthTe20.htm,0,236,DB
/players/A/AnthTy00.htm,4,69,RB
/players/A/AntoLi20.htm,17,3,T
/players/A/AntwHo00.htm,69,63,DT
/players/A/AnzaAl00.htm,11,76,OLB
/players/A/ApkeTr00.htm,4,109,S
/players/A/ApplEl00.htm,21,10,CB
/players/A/ApplSc20.htm,23,6,DT
/players/A/ApunBe20.htm,2,171,LB
/players/A/ArbaFr00.htm,33,22,TE
/players/A/ArbuHa20.htm,2,238,DE
