url,approximate_value,number_drafted,position
/players/A/AfalAl99.htm,5,-1,DB
/players/A/AffhEr00.htm,1,-1,WR
/players/A/AfflDi20.htm,-1,-1,T
/players/A/AgajBe20.htm,8,-1,K
/players/A/AgasAl20.htm,-1,-1,LB
/players/A/AgexLo20.htm,0,-1,T
/players/A/AgeeMe20.htm,8,-1,DE
/players/A/AgeeSa20.htm,-1,-1,FB
/players/A/AgeeTo00.htm,6,-1,RB
/players/A/AghoNe00.htm,27,-1,WR
/players/A/AgimMc00.htm,1,-1,DL
/players/A/AgleBo20.htm,-1,-1,HB
/players/A/AgneJa00.htm,6,-1,WR
/players/A/AgneRa20.htm,41,-1,DT
/players/A/AgneRa00.htm,0,-1,FB
/players/A/AgneVi00.htm,0,-1,CB
/players/A/AguaRo00.htm,0,59,K
/players/A/aguialou01.htm,13,-1,P
/players/A/AguiJo20.htm,-1,-1,E
/players/A/AhYoC.00.htm,4,-1,DE
/players/A/AhanCh20.htm,57,-1,DE
/players/A/AherDa20.htm,-1,-1,T
/players/A/AhmeSa01.htm,2,-1,RB
/players/A/AhreDa20.htm,26,-1,MLB
/players/A/AielTo20.htm,-1,-1,WB
/players/A/AikeDa00.htm,0,-1,LS
/players/A/AikeKa00.htm,12,-1,WR
/players/A/AikeSa00.htm,7,-1,WR
/players/A/AikeCa20.htm,1,-1,WR
/players/A/AikeWa00.htm,1,-1,CB
/players/A/AikmTr00.htm,97,-1,QB
/players/A/AiliJi20.htm,-1,-1,G
/players/A/AiuxCh20.htm,0,-1,G
/players/A/AiyeVi00.htm,0,-1,LB
/players/A/AiyuBr00.htm,6,-1,WR
/players/A/AjayJa00.htm,19,-1,RB
/players/A/AjirSe00.htm,4,-1,WR
/players/A/AkbaHa20.htm,0,-1,LB
/players/A/AkerCa00.htm,4,52,RB
/players/A/akersdav01.htm,33,-1,K
/players/A/AkinHa20.htm,0,-1,T
/players/A/AkinLe20.htm,-1,-1,G
/players/A/AkinFr01.htm,0,-1,DE
/players/A/AkinAl20.htm,-1,-1,HB
/players/A/AkinCh20.htm,2,-1,DB
/players/A/AkinFr00.htm,-1,-1,FB
/players/A/AkinJo00.htm,9,-1,TE
/players/A/AkiuMi20.htm,0,-1,WR
/players/A/AlShAz00.htm,7,-1,LB
/players/A/AlabAn20.htm,1,-1,T
/players/A/AlakOt01.htm,0,-1,LB
/players/A/AlamIk99.htm,2,58,DE
/players/A/AlbaDi00.htm,-1,-1,DB
/players/A/AlbaDo20.htm,-1,-1,BB
/players/A/AlbaVa20.htm,-1,-1,FB
/players/A/AlbeTo20.htm,-1,-1,G
/players/A/AlbeBr20.htm,47,-1,G
/players/A/AlbeFr00.htm,-1,-1,QB
/players/A/AlbeSe20.htm,0,-1,K
/players/A/AlbeTr20.htm,4,-1,LB
/players/A/AlbrAr20.htm,-1,-1,T
/players/A/AlbrTe20.htm,34,-1,T
/players/A/AlbrAl00.htm,3,-1,LB
/players/A/AlbrBi20.htm,-1,-1,G
/players/A/AlbrBr00.htm,0,-1,LB
/players/A/AlbrEt20.htm,9,-1,G
/players/A/AlbrIr20.htm,0,-1,NT
/players/A/AlbrVi20.htm,12,-1,DB
/players/A/AlcoZa20.htm,0,-1,TE
/players/A/AldeGr00.htm,89,-1,T
/players/A/AldeJo20.htm,-1,-1,DE
/players/A/AldrKi20.htm,-1,-1,C
/players/A/AldrAl20.htm,8,-1,DE
/players/A/AldrAl21.htm,41,51,LB
/players/A/AldrBe00.htm,-1,-1,DB
/players/A/AldrJe20.htm,0,-1,RB
/players/A/AldrKe20.htm,1,-1,DE
/players/A/AldrLi20.htm,62,-1,DE
/players/A/AldrMe20.htm,0,-1,DB
/players/A/AlexAr20.htm,0,-1,LB
/players/A/AleaIn20.htm,3,-1,LB
/players/A/AlecCh00.htm,0,-1,DT
/players/A/AlexKe20.htm,0,-1,G
