url,approximate_value,number_drafted,position,year_drafted
/players/A/AllaDo20.htm,0,4,QB,1959
/players/A/AlleNi00.htm,6,216,G,2019
/players/A/AlleAn20.htm,4,88,G,2007
/players/A/AlleAn00.htm,6,156,WR,1983
/players/A/AlleAn01.htm,1,225,RB,2011
/players/A/AlleAn02.htm,10,242,SS,2012
/players/A/AlleAs99.htm,10,86,DB,2009
/players/A/AlleBe00.htm,13,224,DT,2014
/players/A/AlleBr00.htm,4,201,QB,2016
/players/A/AlleBr21.htm,8,83,MLB,2001
/players/A/AlleBr20.htm,0,204,RB,2002
/players/A/AlleBr01.htm,0,173,CB,2017
/players/A/AlleBr02.htm,5,111,C,2018
/players/A/AlleCo00.htm,9,128,DB,2011
/players/A/AlleDa01.htm,1,251,LB,2019
/players/A/AlleDo20.htm,8,27,LB,1974
/players/A/AlleDu00.htm,2,116,TE,1961
/players/A/AlleDw00.htm,12,64,TE,2012
/players/A/AlleEr00.htm,119,30,DB,1988
/players/A/AlleGa20.htm,1,148,RB,1982
/players/A/AlleGe20.htm,0,28,T,1966
/players/A/AlleJe00.htm,9,120,RB,1966
/players/A/AlleGr21.htm,0,35,RB,1985
/players/A/AlleJa20.htm,3,153,DB,1969
/players/A/AlleJa21.htm,9,82,LB,2002
/players/A/AlleJa22.htm,99,126,DE,2004
/players/A/AlleJa23.htm,11,16,DB,2006
/players/A/AlleJa01.htm,14,125,RB,2015
/players/A/AlleJe20.htm,6,212,DB,1980
/players/A/AlleJe01.htm,26,44,T,2012
/players/A/AlleJi20.htm,36,100,DB,1974
/players/A/AlleJo01.htm,25,17,DT,2017
/players/A/AlleJo02.htm,36,7,QB,2018
/players/A/AlleJo03.htm,9,7,EDGE,2019
/players/A/AlleKe00.htm,55,76,WR,2013
/players/A/AlleKe21.htm,0,9,T,1985
/players/A/AlleLa00.htm,101,46,G,1994
/players/A/AlleMa00.htm,103,10,RB,1982
/players/A/AlleMa03.htm,2,148,S,2018
/players/A/AlleNa99.htm,35,37,DB,2010
/players/A/AllePa20.htm,32,100,DB,1984
/players/A/AlleRi00.htm,28,147,CB,2014
/players/A/AlleTa20.htm,1,158,DB,1997
/players/A/AlleTe00.htm,60,241,RB,1990
/players/A/AlleWi20.htm,46,22,DB,2001
/players/A/AlleWi21.htm,24,111,DB,2004
/players/A/AlleZa01.htm,5,65,DL,2019
/players/A/AlleKu20.htm,24,78,LB,1977
/players/A/AlleTy20.htm,4,95,LB,1986
/players/A/AlliAu00.htm,3,146,WR,2007
/players/A/AlliHe20.htm,4,50,G,1971
/players/A/AllrJo00.htm,3,38,TE,1997
/players/A/AlmxJe20.htm,5,41,DT,1990
/players/A/AlonKi00.htm,33,46,ILB,2013
/players/A/AlstJo20.htm,6,77,LB,2006
/players/A/AlstMi00.htm,48,35,FB,1996
/players/A/AltxJo00.htm,74,21,T,1984
/players/A/AluaTy99.htm,41,10,DT,2010
/players/A/AlveSt20.htm,0,172,TE,1979
/players/A/AlvoSt20.htm,7,201,DT,1987
/players/A/AlwaTo20.htm,3,153,G,1975
/players/A/AlwoLa00.htm,98,9,FL,1962
/players/A/AlzaLy00.htm,86,79,DE,1971
/players/A/AmadUg00.htm,3,132,S,2019
/players/A/AmanEu20.htm,30,239,C,2004
/players/A/AmarJa00.htm,4,49,TE,2014
/players/A/AmbrAs00.htm,57,29,DB,1992
/players/A/AmecAl00.htm,3,3,FB,1955
/players/A/AmerDa00.htm,27,51,CB,2013
/players/A/AmeyVi20.htm,1,230,DE,1998
/players/A/AmosAd00.htm,40,142,FS,2015
/players/A/AmukPr00.htm,45,19,CB,2011
/players/A/AmunGe00.htm,4,14,RB,1973
/players/A/AnaeBr00.htm,0,179,DL,2020
/players/A/AnchTr00.htm,0,250,OL,2020
/players/A/AndeJa20.htm,1,211,G,1998
/players/A/andermor01.htm,51,86,K,1982
/players/A/AndeAl00.htm,22,67,RB,1984
/players/A/AndeAn22.htm,4,101,DT,1997
/players/A/AndeBi00.htm,18,31,E,1958
/players/A/AndeBo01.htm,0,108,HB,1960
/players/A/AndeBo00.htm,20,11,RB,1970
/players/A/AndeBr20.htm,1,212,WR,1984
/players/A/AndeBr21.htm,18,82,DE,1966
/players/A/AndeBr22.htm,0,261,G,2003
/players/A/AndeCh21.htm,8,200,LB,2004
/players/A/AndeCo00.htm,5,245,TE,2004
/players/A/AndeCu20.htm,3,128,DE,1979
/players/A/AndeDa20.htm,0,93,DB,1992
/players/A/AndeDa01.htm,7,251,WR,2006
/players/A/AndeDe01.htm,1,195,FB,2007
/players/A/AndeDe00.htm,24,213,QB,2005
/players/A/AndeDi00.htm,78,73,DB,1968
/players/A/AndeDo20.htm,0,32,DB,1985
/players/A/AndeDo00.htm,69,7,RB,1965
/players/A/AndeEd21.htm,49,153,DB,1986
/players/A/AndeEr20.htm,1,186,LB,1992
