,position,year_drafted,counts,av_mean,draft_mean
149,DE,1958,4,40.5,40.75
150,DE,1959,9,13.333333333333334,61.55555555555556
151,DE,1960,7,37.0,37.285714285714285
152,DE,1961,5,66.8,51.6
153,DE,1962,6,42.5,77.33333333333333
154,DE,1963,6,31.833333333333332,61.0
155,DE,1964,4,68.0,25.25
156,DE,1965,8,17.5,54.0
157,DE,1966,9,23.444444444444443,71.44444444444444
158,DE,1967,16,11.6875,96.0625
159,DE,1968,12,25.5,103.0
160,DE,1969,13,26.692307692307693,108.07692307692308
161,DE,1970,14,26.857142857142858,112.92857142857143
162,DE,1971,19,33.10526315789474,101.47368421052632
163,DE,1972,13,20.76923076923077,87.3076923076923
164,DE,1973,13,29.615384615384617,82.76923076923077
165,DE,1974,11,22.0,62.63636363636363
166,DE,1975,9,37.111111111111114,59.888888888888886
167,DE,1976,11,27.818181818181817,118.81818181818181
168,DE,1977,11,24.818181818181817,71.36363636363636
169,DE,1978,14,37.0,70.85714285714286
170,DE,1979,20,24.8,91.25
171,DE,1980,17,22.764705882352942,75.23529411764706
172,DE,1981,19,20.842105263157894,111.3157894736842
173,DE,1982,20,13.85,116.45
174,DE,1983,13,34.76923076923077,108.0
175,DE,1984,16,18.9375,78.25
176,DE,1985,15,31.066666666666666,83.2
177,DE,1986,23,27.391304347826086,94.47826086956522
178,DE,1987,17,12.411764705882353,95.29411764705883
179,DE,1988,18,22.38888888888889,94.88888888888889
180,DE,1989,19,21.57894736842105,84.21052631578948
181,DE,1990,21,25.476190476190474,81.38095238095238
182,DE,1991,13,22.153846153846153,116.38461538461539
183,DE,1992,15,28.866666666666667,80.33333333333333
184,DE,1993,18,30.444444444444443,103.11111111111111
185,DE,1994,17,20.294117647058822,105.17647058823529
186,DE,1995,17,19.11764705882353,111.52941176470588
187,DE,1996,23,23.82608695652174,96.73913043478261
188,DE,1997,19,22.842105263157894,103.21052631578948
189,DE,1998,23,18.47826086956522,102.82608695652173
190,DE,1999,22,25.727272727272727,113.36363636363636
191,DE,2000,18,23.61111111111111,120.77777777777777
192,DE,2001,18,27.5,109.22222222222223
